Wall time,Step,Value
1732214100.110819,0,1.1697100400924683
1732214352.009962,1,0.9900828003883362
1732214382.384449,2,0.9646232724189758
1732214413.020848,3,0.9503808617591858
1732214443.376406,4,0.9399427175521851
1732214474.012595,5,0.9326714873313904
1732214504.625107,6,0.9241323471069336
1732214535.040269,7,0.9180585741996765
1732214565.702596,8,0.913670539855957
1732214596.05405,9,0.9097427129745483
1732214626.725953,10,0.9061366319656372
1732214657.09798,11,0.902140200138092
1732214687.753196,12,0.8990657329559326
1732214718.139822,13,0.8966590166091919
1732214748.784878,14,0.894114077091217
1732214779.443595,15,0.8916138410568237
1732214809.856533,16,0.8889309763908386
1732214840.50823,17,0.8866226673126221
1732214870.926973,18,0.8845349550247192
1732214901.581409,19,0.8827160000801086
1732214931.969062,20,0.8824334740638733
1732214962.567087,21,0.8794765472412109
1732214992.933542,22,0.8778509497642517
1732215023.611204,23,0.8745539784431458
1732215053.982014,24,0.873782753944397
1732215084.659096,25,0.8730596899986267
1732215115.325467,26,0.8721405267715454
1732215145.716462,27,0.8714618682861328
1732215176.337738,28,0.8706812262535095
1732215206.682609,29,0.8700625896453857
1732215237.330353,30,0.8693868517875671
1732215267.721451,31,0.8690595030784607
1732215298.370602,32,0.8683404922485352
1732215328.723311,33,0.8676784038543701
1732215359.356642,34,0.867060661315918
1732215390.04568,35,0.8658427000045776
1732215420.412519,36,0.8655873537063599
1732215451.069923,37,0.8651239275932312
1732215481.472781,38,0.8648373484611511
1732215512.136252,39,0.8645608425140381
1732215542.541961,40,0.8644427061080933
1732215573.19807,41,0.8640141487121582
1732215603.608937,42,0.8638015389442444
1732215634.257817,43,0.8634291291236877
1732215664.940747,44,0.8633369207382202
1732215695.364501,45,0.8629598617553711
1732215726.036293,46,0.862763524055481
1732215756.466917,47,0.8620521426200867
1732215787.186329,48,0.8619583249092102
1732215817.562412,49,0.8618775010108948
1732215848.213459,50,0.8618419170379639
1732215878.593146,51,0.8616718649864197
1732215909.267085,52,0.8615365624427795
1732215939.630904,53,0.8613252639770508
1732215970.256847,54,0.861352801322937
1732216000.88202,55,0.8612311482429504
1732216031.246555,56,0.8609265089035034
1732216061.875729,57,0.8608216047286987
1732216092.353201,58,0.8606184124946594
1732216123.032076,59,0.8607335686683655
1732216153.453546,60,0.8604667782783508
1732216184.120906,61,0.8603013157844543
1732216214.533725,62,0.8603363633155823
1732216245.151722,63,0.8601506352424622
1732216275.784621,64,0.8600549697875977
1732216306.165169,65,0.8597047328948975
1732216336.786402,66,0.8596959710121155
1732216367.206867,67,0.8596903085708618
1732216397.855412,68,0.8595142960548401
1732216428.309383,69,0.8596731424331665
1732216458.9693,70,0.8595534563064575
1732216489.394231,71,0.859387993812561
1732216520.057112,72,0.8593564033508301
1732216550.691432,73,0.8591672778129578
1732216580.132619,74,0.8592500686645508
1732216612.660568,75,0.8591518402099609
1732216643.985843,76,0.8591995239257812
1732216666.714839,77,0.8590850830078125
1732216688.920593,78,0.8590197563171387
1732216711.111991,79,0.8589779138565063
1732216736.18154,80,0.8591225743293762
1732216767.967735,81,0.8590365648269653
1732216799.121862,82,0.8588445782661438
1732216829.887485,83,0.8589354157447815
1732216860.69156,84,0.8587993383407593
1732216891.095609,85,0.8587952256202698
1732216921.799744,86,0.8587672114372253
1732216952.195093,87,0.8587590456008911
1732216982.855422,88,0.8587997555732727
1732217013.203409,89,0.8588110208511353
1732217043.846485,90,0.858877956867218
1732217074.515388,91,0.8588047027587891
1732217104.860392,92,0.858667254447937
1732217135.544902,93,0.8587120175361633
1732217165.959137,94,0.8585177063941956
1732217196.618463,95,0.8584514856338501
1732217227.030506,96,0.8584272861480713
1732217257.666639,97,0.8585501909255981
1732217288.041458,98,0.8584955930709839
1732217318.673215,99,0.8584381341934204
1732217349.131933,100,0.8584591150283813
1732217603.330767,101,0.8585524559020996
